police_station,avg_days
Anandpur Sahib,26.03846153846154
Chamkaur Sahib,9.714285714285714
City Ropar,4.285714285714286
Kiratpur Sahib,3.576923076923077
Morinda,10.76923076923077
Nangal,5.379310344827586
Nurpur Bedi,1.6428571428571428
Sadar Roopnagar,0.52
Singh Bhagwantpura,6.714285714285714
